x, a priori error bound, running error bound, forward error
    9.93110E-01,     1.76265E-27,     1.72740E-27,     3.58266E-28
    9.93120E-01,     1.75017E-27,     1.71398E-27,     6.48292E-28
    9.93130E-01,     1.73777E-27,     1.69983E-27,     2.67896E-28
    9.93140E-01,     1.72544E-27,     1.69054E-27,     1.61013E-27
    9.93150E-01,     1.71319E-27,     1.67652E-27,     1.26539E-27
    9.93160E-01,     1.70100E-27,     1.66417E-27,     5.66973E-28
    9.93170E-01,     1.68889E-27,     1.65229E-27,     8.31662E-28
    9.93180E-01,     1.67684E-27,     1.63941E-27,     6.02861E-28
    9.93190E-01,     1.66487E-27,     1.62916E-27,     1.03294E-28
    9.93200E-01,     1.65297E-27,     1.61672E-27,     4.43804E-28
    9.93210E-01,     1.64113E-27,     1.60322E-27,     7.42875E-28
    9.93220E-01,     1.62937E-27,     1.59247E-27,     3.26291E-28
    9.93230E-01,     1.61768E-27,     1.57979E-27,     7.94424E-28
    9.93240E-01,     1.60605E-27,     1.56917E-27,     3.87660E-28
    9.93250E-01,     1.59449E-27,     1.55844E-27,     1.32487E-28
    9.93260E-01,     1.58300E-27,     1.54666E-27,     3.19807E-28
    9.93270E-01,     1.57158E-27,     1.53534E-27,     6.57725E-28
    9.93280E-01,     1.56023E-27,     1.52430E-27,     1.56847E-28
    9.93290E-01,     1.54895E-27,     1.51273E-27,     2.80691E-28
    9.93300E-01,     1.53773E-27,     1.50182E-27,     5.52816E-28
    9.93310E-01,     1.52657E-27,     1.49084E-27,     2.08258E-28
    9.93320E-01,     1.51549E-27,     1.47982E-27,     3.43238E-28
    9.93330E-01,     1.50447E-27,     1.46867E-27,     6.64071E-28
    9.93340E-01,     1.49352E-27,     1.45638E-27,     1.09957E-28
    9.93350E-01,     1.48263E-27,     1.44540E-27,     7.74686E-29
    9.93360E-01,     1.47181E-27,     1.43464E-27,     3.92828E-28
    9.93370E-01,     1.46105E-27,     1.42356E-27,     3.40207E-28
    9.93380E-01,     1.45036E-27,     1.41489E-27,     4.74816E-28
    9.93390E-01,     1.43973E-27,     1.40290E-27,     7.49104E-28
    9.93400E-01,     1.42916E-27,     1.39249E-27,     2.05763E-29
    9.93410E-01,     1.41866E-27,     1.38166E-27,     6.94127E-28
    9.93420E-01,     1.40823E-27,     1.37044E-27,     3.90253E-28
    9.93430E-01,     1.39785E-27,     1.36209E-27,     6.71323E-29
    9.93440E-01,     1.38754E-27,     1.35216E-27,     4.26478E-28
    9.93450E-01,     1.37730E-27,     1.33932E-27,     7.36467E-28
    9.93460E-01,     1.36711E-27,     1.33173E-27,     5.45057E-28
    9.93470E-01,     1.35699E-27,     1.32067E-27,     2.62715E-28
    9.93480E-01,     1.34693E-27,     1.30953E-27,     7.90183E-31
    9.93490E-01,     1.33693E-27,     1.30192E-27,     2.54993E-28
    9.93500E-01,     1.32699E-27,     1.28994E-27,     4.05628E-28
    9.93510E-01,     1.31711E-27,     1.28012E-27,     1.07536E-29
    9.93520E-01,     1.30729E-27,     1.27073E-27,     5.12198E-28
    9.93530E-01,     1.29754E-27,     1.26026E-27,     6.80187E-28
    9.93540E-01,     1.28784E-27,     1.25247E-27,     7.04249E-28
    9.93550E-01,     1.27820E-27,     1.24078E-27,     4.46499E-28
    9.93560E-01,     1.26863E-27,     1.23275E-27,     5.04113E-28
    9.93570E-01,     1.25911E-27,     1.22238E-27,     3.54211E-28
    9.93580E-01,     1.24965E-27,     1.21337E-27,     2.29563E-28
    9.93590E-01,     1.24025E-27,     1.20333E-27,     3.88715E-28
    9.93600E-01,     1.23091E-27,     1.19427E-27,     7.85741E-28
    9.93610E-01,     1.22163E-27,     1.18452E-27,     1.22514E-29
    9.93620E-01,     1.21240E-27,     1.17741E-27,     2.90314E-29
    9.93630E-01,     1.20323E-27,     1.16684E-27,     4.36483E-28
    9.93640E-01,     1.19412E-27,     1.15671E-27,     2.29614E-28
    9.93650E-01,     1.18507E-27,     1.14951E-27,     4.63257E-28
    9.93660E-01,     1.17607E-27,     1.14018E-27,     4.66540E-28
    9.93670E-01,     1.16713E-27,     1.13041E-27,     4.46742E-28
    9.93680E-01,     1.15825E-27,     1.12234E-27,     3.52923E-28
    9.93690E-01,     1.14942E-27,     1.11337E-27,     8.01808E-28
    9.93700E-01,     1.14065E-27,     1.10480E-27,     7.59458E-28
    9.93710E-01,     1.13194E-27,     1.09443E-27,     7.54016E-28
    9.93720E-01,     1.12327E-27,     1.08704E-27,     7.98594E-28
    9.93730E-01,     1.11467E-27,     1.07841E-27,     2.49807E-28
    9.93740E-01,     1.10612E-27,     1.06872E-27,     4.12803E-28
    9.93750E-01,     1.09762E-27,     1.06150E-27,     1.86123E-29
    9.93760E-01,     1.08918E-27,     1.05207E-27,     6.67704E-28
    9.93770E-01,     1.08079E-27,     1.04304E-27,     6.48324E-28
    9.93780E-01,     1.07246E-27,     1.03616E-27,     3.43601E-28
    9.93790E-01,     1.06418E-27,     1.02654E-27,     3.76619E-28
    9.93800E-01,     1.05595E-27,     1.02027E-27,     7.34806E-31
    9.93810E-01,     1.04777E-27,     1.01162E-27,     3.79969E-28
    9.93820E-01,     1.03965E-27,     1.00313E-27,     4.12917E-28
    9.93830E-01,     1.03158E-27,     9.95643E-28,     1.67472E-28
    9.93840E-01,     1.02356E-27,     9.87264E-28,     7.19013E-28
    9.93850E-01,     1.01560E-27,     9.79607E-28,     5.90808E-28
