x, a priori error bound, running error bound, forward error
    9.92870E-01,     3.81494E-27,     2.09367E-27,     1.48398E-27
    9.92880E-01,     3.80066E-27,     2.08377E-27,     1.03338E-27
    9.92890E-01,     3.78645E-27,     2.06377E-27,     9.67123E-28
    9.92900E-01,     3.77233E-27,     2.02770E-27,     9.25445E-28
    9.92910E-01,     3.75828E-27,     2.04013E-27,     6.98610E-28
    9.92920E-01,     3.74432E-27,     2.00562E-27,     5.92186E-28
    9.92930E-01,     3.73043E-27,     2.00595E-27,     1.97682E-28
    9.92940E-01,     3.71662E-27,     1.98714E-27,     4.77553E-28
    9.92950E-01,     3.70289E-27,     1.98009E-27,     8.69701E-28
    9.92960E-01,     3.68924E-27,     1.95637E-27,     1.25446E-27
    9.92970E-01,     3.67567E-27,     1.95974E-27,     3.31470E-28
    9.92980E-01,     3.66217E-27,     1.92609E-27,     1.86044E-28
    9.92990E-01,     3.64875E-27,     1.92584E-27,     3.38764E-28
    9.93000E-01,     3.63540E-27,     1.90926E-27,     7.28653E-28
    9.93010E-01,     3.62214E-27,     1.90370E-27,     9.55176E-28
    9.93020E-01,     3.60894E-27,     1.89027E-27,     1.24451E-27
    9.93030E-01,     3.59583E-27,     1.87260E-27,     1.57846E-27
    9.93040E-01,     3.58278E-27,     1.87310E-27,     8.06916E-28
    9.93050E-01,     3.56982E-27,     1.82835E-27,     1.44467E-27
    9.93060E-01,     3.55693E-27,     1.81777E-27,     1.38286E-27
    9.93070E-01,     3.54411E-27,     1.80038E-27,     1.53896E-27
    9.93080E-01,     3.53136E-27,     1.80933E-27,     8.82392E-28
    9.93090E-01,     3.51869E-27,     1.79922E-27,     1.20130E-27
    9.93100E-01,     3.50610E-27,     1.76687E-27,     1.01479E-27
    9.93110E-01,     3.49357E-27,     1.77302E-27,     3.58266E-28
    9.93120E-01,     3.48112E-27,     1.74927E-27,     6.48292E-28
    9.93130E-01,     3.46874E-27,     1.74217E-27,     2.67896E-28
    9.93140E-01,     3.45643E-27,     1.73178E-27,     1.61013E-27
    9.93150E-01,     3.44420E-27,     1.70945E-27,     1.26539E-27
    9.93160E-01,     3.43203E-27,     1.71704E-27,     5.66973E-28
    9.93170E-01,     3.41994E-27,     1.70185E-27,     8.31662E-28
    9.93180E-01,     3.40792E-27,     1.68276E-27,     6.02861E-28
    9.93190E-01,     3.39597E-27,     1.66910E-27,     1.03294E-28
    9.93200E-01,     3.38408E-27,     1.66253E-27,     4.43804E-28
